Place of Publication,Year of Publication,Author,URL
London,1879 [1878],"FORBES, Walter.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206
London; Virtue & Yorston,1868,"BLAZE DE BURY, Marie Pauline Rose - Baroness",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216
London,1869,"BLAZE DE BURY, Marie Pauline Rose - Baroness",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218
London,1851,"Appleyard, Ernest Silvanus.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472
London,1857,"BROOME, John Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480
London,1875,"BROOME, John Henry.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481
London,1872,"ASHLEY, Florence Emily.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519
"pp. 40. G. Bryan & Co: Oxford, 1898",,"ANDREWS, J. - Writer of Verse",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667
London],1676,"ADAMS, Mary.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874
London,1679,"OLDHAM, John.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143
Coventry,1802,"CARTE, Samuel.|JACKSON, Edward - Rector of Southam, and CARTE (Samuel)",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280
Christiania,1859,"AALL, J. C.|LANGE, Christian Christoph Andreas.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808
Firenze,1888,"S., L. G. D.|SIMONE, Luigi Giuseppe Oronzo Mariano Raffaele Francesco Fortunato Felice de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905
Amsterdam,"1839, 38-54","WITKAMP, Pieter Harme.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929
Savona,1897,"ASSERETO, Giovanni.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836
London,1865,"READE, William Winwood.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854
Paris,1860-63,"RADAU, Rodolphe.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956
Paris,1873,"RADAU, Rodolphe.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957
Puerto-Rico,1866,"ACOSTA Y CALBO, José Julian de.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017
New York,1899,"ANDRÉ, John - Major|ARNOLD, Benedict.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131
Hull,1814,"WRANGHAM, Francis.",http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598
